entry_id,source_anchor,statement_id,hint_id,answer_id,solution_id,status
o003-c90-ch12-guide-01,o003-gvsu-ch12-sec_top_space_intro-prompt-01,o003-c90-ch12-guide-01-statement,o003-c90-ch12-guide-01-hint,o003-c90-ch12-guide-01-answer,o003-c90-ch12-guide-01-solution,partial
o003-c90-ch12-guide-02,o003-gvsu-ch12-sec_top_space_intro-prompt-02,o003-c90-ch12-guide-02-statement,o003-c90-ch12-guide-02-hint,o003-c90-ch12-guide-02-answer,o003-c90-ch12-guide-02-solution,partial
o003-c90-ch12-guide-03,o003-gvsu-ch12-sec_top_space_intro-prompt-03,o003-c90-ch12-guide-03-statement,o003-c90-ch12-guide-03-hint,o003-c90-ch12-guide-03-answer,o003-c90-ch12-guide-03-solution,partial
o003-c90-ch12-guide-04,o003-gvsu-ch12-sec_top_space_intro-prompt-04,o003-c90-ch12-guide-04-statement,o003-c90-ch12-guide-04-hint,o003-c90-ch12-guide-04-answer,o003-c90-ch12-guide-04-solution,partial
o003-c90-ch12-guide-05,o003-gvsu-ch12-sec_top_space_intro-prompt-05,o003-c90-ch12-guide-05-statement,o003-c90-ch12-guide-05-hint,o003-c90-ch12-guide-05-answer,o003-c90-ch12-guide-05-solution,partial
o003-c90-ch12-guide-06,o003-gvsu-ch12-sec_top_space_intro-prompt-06,o003-c90-ch12-guide-06-statement,o003-c90-ch12-guide-06-hint,o003-c90-ch12-guide-06-answer,o003-c90-ch12-guide-06-solution,partial
o003-c90-ch12-guide-07,o003-gvsu-ch12-sec_top_space_intro-prompt-07,o003-c90-ch12-guide-07-statement,o003-c90-ch12-guide-07-hint,o003-c90-ch12-guide-07-answer,o003-c90-ch12-guide-07-solution,partial
o003-c90-ch12-guide-08,o003-gvsu-ch12-sec_top_space_intro-prompt-08,o003-c90-ch12-guide-08-statement,o003-c90-ch12-guide-08-hint,o003-c90-ch12-guide-08-answer,o003-c90-ch12-guide-08-solution,partial
o003-c90-ch12-guide-09,o003-gvsu-ch12-act_TS_limits1-prompt-01,o003-c90-ch12-guide-09-statement,o003-c90-ch12-guide-09-hint,o003-c90-ch12-guide-09-answer,o003-c90-ch12-guide-09-solution,partial
o003-c90-ch12-guide-10,o003-gvsu-ch12-act_TS_limits1-prompt-02,o003-c90-ch12-guide-10-statement,o003-c90-ch12-guide-10-hint,o003-c90-ch12-guide-10-answer,o003-c90-ch12-guide-10-solution,partial
